sentence_id,original_text,original_label,gpt54mini_translation,translator,consensus_label,gemini_translation,claude_translation
51,The demonstrators were protesting against Japanese Prime Minister Abe Shinzo’s trade restrictions against South Korea and spotlighting the century-old dispute over Imperial Japan’s use of forced labor in Korea that underlies the current economic and diplomatic crisis.,Non-biased,كان المتظاهرون يحتجون على القيود التجارية التي فرضها رئيس الوزراء الياباني آبي شينزو على كوريا الجنوبية، ويسلطون الضوء على النزاع الذي يعود إلى قرن من الزمان بشأن استخدام اليابان الإمبراطورية للعمل القسري في كوريا، وهو النزاع الذي يكمن وراء الأزمة الاقتصادية والدبلوماسية الحالية.,gpt,Non-biased,,
52,"Texas Gov. Greg Abbott on Friday became the first governor in the country to refuse to take in refugees, but 18 of his 26 Republican counterparts have chosen to open the door to refugees, much to the surprise of the Trump administration.",Non-biased,أصبح حاكم تكساس غريغ أبوت يوم الجمعة أول حاكم في البلاد يرفض استقبال اللاجئين، لكن 18 من بين 26 من نظرائه الجمهوريين اختاروا فتح الباب أمام اللاجئين، مما أثار دهشة إدارة ترامب.,gpt,Non-biased,,
53,Student debt increased by a whopping 107 percent between 2009 and 2019. Americans now owe $1.6 trillion in education loans. Policy wonks and politicians respond by concocting flashy plans that hardly solve the debt crisis.,Biased,ارتفع دين الطلاب بنسبة هائلة بلغت 107 في المئة بين عامي 2009 و2019. ويَدين الأمريكيون الآن بمبلغ 1.6 تريليون دولار في قروض التعليم. ويردّ خبراء السياسات والسياسيون باختلاق خطط براقة بالكاد تحل أزمة الديون.,gpt,Biased,,
54,"In her Instagram story, Jedrzejczyk posted an image of herself standing behind UFC strawweight champion Weili while wearing a gas mask, implying that she is protecting herself from the possibility of catching the coronavirus, which is currently at the center of a deadly outbreak in China.",Non-biased,في قصتها على إنستغرام، نشرت جيدرزييتشيك صورة لنفسها وهي تقف خلف بطلة وزن القشة في UFC، ويلي، وهي ترتدي قناع غاز، في إشارة إلى أنها تحمي نفسها من احتمال الإصابة بفيروس كورونا، الذي يقع حاليًا في قلب تفشٍّ مميت في الصين.,gpt,Non-biased,,
55,"Yet the drumbeat for censorship goes on as the politicians whose ideas find favor with the mainstream media want to make sure theirs are the only ideas you ever get to hear. Today it will be about money, but only because money is the means to spread ideas.",Biased,ومع ذلك، يستمر دقّ الطبول من أجل الرقابة، إذ يريد السياسيون الذين تحظى أفكارهم بقبول وسائل الإعلام السائدة أن يتأكدوا من أن أفكارهم هي الوحيدة التي ستسمعها على الإطلاق. اليوم سيكون الأمر متعلقًا بالمال، ولكن فقط لأن المال هو الوسيلة لنشر الأفكار.,gpt,Biased,,
56,"Rep. Al Green (D-TX) at a hearing on Wednesday perpetuated the hoax that President Trump called white nationalists at a rally in Charlottesville, Virginia in 2017 “very fine people.”",Biased,النائب آل غرين (ديمقراطي من تكساس) في جلسة استماع يوم الأربعاء روّج للخدعة القائلة إن الرئيس ترامب وصف القوميين البيض في تجمع حاشد في شارلوتسفيل بولاية فرجينيا عام 2017 بأنهم «أناس طيبون جدًا».,gpt,Biased,,
57,"Tens of millions of children under 12 months are potentially at risk for diseases such as diphtheria and polio as the Chinese coronavirus pandemic interrupts routine vaccinations, according to data published by global public health experts on Friday.",Non-biased,عشرات الملايين من الأطفال دون سن 12 شهرًا معرضون للخطر المحتمل للإصابة بأمراض مثل الدفتيريا وشلل الأطفال، مع تعطل التطعيمات الروتينية بسبب جائحة فيروس كورونا الصيني، وفقًا لبيانات نُشرت يوم الجمعة من قبل خبراء الصحة العامة العالميين.,gpt,Biased,,
58,"Remember how incensed people got when Trump floated his (admittedly, impractical) ideological test for immigrants.",Biased,تذكّر مدى غضب الناس عندما طرح ترامب اختباره الأيديولوجي (غير العملي، لا شك) للمهاجرين.,gpt,Biased,,
59,"When the Muslim ban was first enacted, it triggered chaos at airports and prompted widespread protest and legal challenges, and it continues to impose devastating costs on families and people who wish to come to the U.S.",Biased,عندما تم سنّ حظر المسلمين لأول مرة، تسبب في فوضى في المطارات وأثار احتجاجات واسعة النطاق وطعونًا قانونية، ولا يزال يفرض تكاليف مدمرة على الأسر والأشخاص الذين يرغبون في القدوم إلى الولايات المتحدة.,gpt,Biased,,
61,"Donald Trump’s presidential campaign and many of his administration’s policies have played on the trope of threats posed by refugees, asylum seekers and other migrants.",Biased,لقد اعتمدت الحملة الرئاسية لدونالد ترامب والعديد من سياسات إدارته على الصورة النمطية للتهديدات التي يشكلها اللاجئون وطالبو اللجوء وغيرهم من المهاجرين.,gpt,Biased,,
