"sentence_id","text","true_label","source"
"1","شهد فندق ""واشنطن هيلتون"" ليلة السبت استنفارا أمنيا بالتزامن مع عشاء مراسلي البيت الأبيض، إذ تمكن أفراد الخدمة السرية من السيطرة على مسلح حاول إطلاق النار بعد اقتحام الموقع أثناء وجود الرئيس الأمريكي دونالد ترمب.","Non-biased","الجزيرة"
"2","أعلنت السلطات الأمريكية توقيف جندي في القوات الخاصة بتهمة استغلال معلومات سرية لتحقيق أرباح عبر منصة التوقعات ""بوليماركت""، في أول ملاحقة قضائية من هذا النوع داخل الولايات المتحدة.","Non-biased","الجزيرة"
"3","تواجه سوق النفط العالمية مرحلة جديدة من الضغوط مع استمرار تعطل الملاحة عبر مضيق هرمز.","Non-biased","الجزيرة"
"4","اتهم مسؤولون ألمان روسيا، السبت، بالوقوف وراء هجمات إلكترونية استهدفت نواباً ومسؤولين حكوميين رفيعي المستوى يستخدمون تطبيق المراسلة ""سيغنال"".","Non-biased","العربية"
"5","رصدت وزارة الدفاع الوطني التايوانية ثماني طائرات عسكرية وسبع سفن حربية تابعة للصين بين الساعة السادسة صباح أمس الجمعة والسادسة صباح اليوم السبت.","Non-biased","العربية"
"6","شهدت القدس، اليوم السبت، احتجاجات أمام منزل السفير الأميركي لدى إسرائيل، مايك هاكابي، حيث تجمع عشرات المتظاهرين للتنديد بما وصفوه بدعم واشنطن لسياسات تعزز بقاء رئيس الوزراء بنيامين نتنياهو في السلطة.","Non-biased","العربية"
"7","فقد دعا المحتجون الولايات المتحدة إلى عدم دعم سياسات يرون أنها ""ترسخ النفوذ السياسي"" لنتنياهو على حساب الاستقرار الداخلي، مؤكدين ضرورة التمسك بالقيم المشتركة بين البلدين، وفق ما نقلت ""تايمز أوف إسرائيل"".","Non-biased","العربية"
"8","في واقعة أثارت تفاعلاً واسعاً على منصات التواصل الاجتماعي، اقتحم جندي أوكراني اجتماعاً للتجنيد العسكري داخل جامعة روسية، موجهاً تحذيراً مباشراً للطلاب بأنه سيُجبر على قتلهم في حال انضمامهم إلى الجيش.","Non-biased","العربية"
"9","أعربت وزارة الخارجية السعودية عن إدانة واستنكار المملكة بأشد العبارات استهداف موقعين من المراكز الحدودية البرية الشمالية لدولة الكويت الشقيقة بطائرات مسيرة قادمة من جمهورية العراق.","Non-biased","العربية"
"10","أعلنت جماعة تابعة لتنظيم القاعدة ومتمردو الطوارق مسؤوليتهم عن هجمات متزامنة ومنسّقة في أنحاء مالي السبت، وُصفت بأنها واحدة من أجرأ العمليات التي شُنّت ضد الحكومة التي يقودها الجيش المالي.","Non-biased","الجزيرة"
"11","وذكر الجيش المالي أنه قتل مئات المهاجمين، وصد الهجوم الذي استهدف مواقع متعددة في باماكو وبالقرب منها، مضيفا أن عملية تمشيط واسعة النطاق جارية في العاصمة.","Non-biased","الجزيرة"
"12","عقدت، الأحد، أولى جلسات المحاكمة الغيابية للرئيس السوري المخلوع بشار الأسد وشقيقه ماهر الأسد، إلى جانب عدد من رموز الحكم السابق، في إطار مسار العدالة الانتقالية.","Non-biased","سكاي نيوز"
"13","أعلنت وزارة المالية تسجيل فائض قدره 12 مليار ريال في الربع الأول.","Non-biased","Manual Collection"
"14","أظهرت بيانات البنك المركزي ارتفاع الاحتياطي الأجنبي إلى 465 مليار دولار.","Non-biased","Manual Collection"
"15","وقّعت الحكومة اتفاقية تعاون تجاري مع دولة آسيوية لمدة خمس سنوات.","Non-biased","Manual Collection"
"16","أكد المتحدث الرسمي بدء المرحلة الثانية من مشروع النقل العام.","Non-biased","Manual Collection"
"17","عقد البرلمان جلسة لمناقشة مشروع الموازنة العامة للعام المقبل.","Non-biased","Manual Collection"
"18","سجّل قطاع السياحة زيادة بنسبة 8% في أعداد الزوار هذا العام.","Non-biased","Manual Collection"
"19","أعلنت وزارة التعليم افتتاح 15 مدرسة جديدة في المناطق الريفية.","Non-biased","Manual Collection"
"20","أظهرت نتائج المسح انخفاض معدل التضخم إلى 2.7% خلال مارس.","Non-biased","Manual Collection"
"21","وقّع الرئيس مرسوماً بتعديل بعض المواد المنظمة للاستثمار الأجنبي.","Non-biased","Manual Collection"
"22","أكدت الهيئة المختصة استمرار العمل بالإجراءات الحالية حتى نهاية الشهر.","Non-biased","Manual Collection"
"23","أعلنت وزارة الصحة تسجيل 142 حالة إصابة جديدة بفيروس كورونا خلال الأسبوع الماضي.","Non-biased","Manual Collection"
"24","وقّعت الحكومة اتفاقية تعاون اقتصادي مع الصين تشمل مشاريع في قطاعات الطاقة والنقل.","Non-biased","Manual Collection"
"25","أظهرت بيانات البنك المركزي ارتفاع احتياطي النقد الأجنبي إلى 450 مليار دولار.","Non-biased","Manual Collection"
"26","افتتح وزير التعليم 15 مدرسة جديدة في المناطق الريفية بسعة 8000 طالب.","Non-biased","Manual Collection"
"27","انطلقت فعاليات المؤتمر الدولي للطاقة المتجددة بمشاركة 45 دولة و300 خبير.","Non-biased","Manual Collection"
"28","أعلنت الهيئة العامة للطيران المدني تشغيل 12 رحلة أسبوعية جديدة ابتداءً من الشهر المقبل.","Non-biased","Manual Collection"
"29","عقد الرئيس لقاءً مع قادة الأحزاب السياسية لمناقشة مشروع قانون الانتخابات الجديد.","Non-biased","Manual Collection"
"30","سجلت البورصة المحلية ارتفاعاً بنسبة 2.3% في تعاملات اليوم.","Non-biased","Manual Collection"
